source_id,ra,dec,theta_jet,r15,delta,theta_pred,residual_theta,logr15,failure_type,bin,geom_pred,I_BH,coupling,logr15_sq,regime,regime_bin,energy_proxy,res_abs
0430+052,68.29623,5.35434,9.6,21.0,2.1,13.10213662365787,-3.5021362421881435,1.3222192947339193,normal,6,27.514485660164407,27.514485660164407,2.7766602,1.7482637,HIGH,1,27.51448690968153,3.5021362421881435
0458-020,75.30337,-1.98729,22.1,8.5,15.7,19.591758037400105,2.5082423440696218,0.9294189257142929,normal,4,307.59059745035034,307.59059745035034,14.591877,0.86381954,LOW,0,307.5906011871816,2.5082423440696218
0528+134,82.73507,13.53199,18.4,6.1,30.9,21.972315416272927,-3.572315797742654,0.785329835010767,normal,3,678.9445379810603,678.9445379810603,24.266691,0.6167429,LOW,0,678.9445463628334,3.572315797742654
0605-085,17.125,-0.6,19.5,8.1,7.5,19.937615353585368,-0.4376153535853682,0.9084850188786496,normal,4,149.53211515189025,149.53211515189025,6.8136377,0.8253451,LOW,0,149.53211515189025,0.4376153535853682
0642+449,101.63344,44.85461,18.5,2.0,10.6,29.97363863447672,-11.47363863447672,0.3010299956639812,over_collimated,1,317.720580959489,317.720580959489,3.1909182,0.090619065,LOW,0,317.72056952545324,11.47363863447672
0716+714,110.4727,71.34343,19.7,4.9,10.8,23.544060115655803,-3.84405935271635,0.6901960800285137,normal,3,254.27585373975572,254.27585373975572,7.454118,0.47637066,LOW,0,254.27584924908268,3.84405935271635
0735+178,114.53081,17.70528,24.9,5.0,4.5,23.39910240163378,1.5008972168964938,0.6989700043360189,normal,3,105.295960807352,105.295960807352,3.145365,0.4885591,LOW,0,105.295960807352,1.5008972168964938
0736+017,114.82514,1.61795,16.9,14.8,8.5,15.612691338355257,1.2873082801750186,1.1702617153949575,normal,5,132.70787637601967,132.70787637601967,9.947225,1.3695126,HIGH,1,132.70787637601967,1.2873082801750186
0754+100,119.27768,9.94301,16.5,7.0,5.5,20.9848595529742,-4.484859552974193,0.8450980400142568,normal,4,115.41672754135806,115.41672754135806,4.648039,0.71419066,LOW,0,115.41672754135809,4.484859552974193
0804+499,122.16528,49.84348,42.3,4.8,35.2,23.69200655715474,18.60799267990581,0.6812412373755872,over_open,3,833.9586488874135,833.9586488874135,23.979692,0.46408966,LOW,0,833.958630811847,18.60799267990581
0805-077,122.06473,-7.85275,24.6,22.4,14.9,12.639062105155592,11.960938276314137,1.3502480183341627,over_open,6,188.3220205453988,188.3220205453988,20.118694,1.8231696,HIGH,1,188.3220253668183,11.960938276314137
0827+243,127.71703,24.18328,22.1,7.1,13.0,20.88308230390612,1.216918077563605,0.8512583487190752,normal,4,271.4800699507796,271.4800699507796,11.066359,0.7246408,LOW,0,271.4800699507796,1.216918077563605
0836+710,130.3515,70.8951,8.4,16.5,16.1,14.832512342175445,-6.432512723645171,1.2174839442139065,normal,6,238.80345436717909,238.80345436717909,19.601492,1.4822673,HIGH,1,238.80344870902468,6.432512723645171
0851+202,133.70365,20.10851,30.5,4.7,16.8,23.843068759357784,6.656931240642216,0.6720978579357175,normal,3,400.5635369663929,400.5635369663929,11.291244,0.45171553,LOW,0,400.5635551572108,6.656931240642216
