galaxy_id,slope_tail,n_tail_points,inc_deg,logM,Rmax,MHI,Rdisk,env_proxy,galaxy,delta_mass_std,F3_SCM,delta_f3,slope_tail_res_mass,delta_f3_res_mass
UGC08490,0.6008392772312859,22,50.0,9.166163593747834,0.67,0.72,0.67,0.205181923566933,UGC08490,-0.2919669816645184,0.6008392772312859,0.10083927723128594,0.0915030722003537,0.09150307220035381
UGC00128,0.5760158584218107,14,57.0,10.201212168360524,5.95,7.431,5.95,-0.6779866824189389,UGC00128,-1.1751365428457334,0.5760158584218107,0.07601585842181069,-0.009596888673593984,-0.009596888673593873
NGC0300,0.3878522378984841,9,42.0,9.43230853265576,1.75,0.936,1.75,-0.5148003904449036,NGC0300,-1.0119501213286175,0.3878522378984841,-0.11214776210151589,-0.14109716802541428,-0.14109716802541405
NGC5055,0.6332453219677098,22,55.0,10.96402973751469,3.2,11.722,3.2,0.0587017179942196,NGC5055,-0.4384481122883458,0.6332453219677098,0.13324532196770977,-0.00858226163706266,-0.008582261637062438
NGC2841,0.6074261222032503,28,76.0,11.0296323097081,3.64,9.775,3.64,-0.1320860340081378,NGC2841,-0.6292358739243414,0.6074261222032503,0.10742612220325032,-0.039235956593519083,-0.03923595659351875
NGC6503,0.552997178052433,26,74.0,9.941611795734016,2.16,1.744,2.16,-0.4273611147896832,NGC6503,-0.9245108943994472,0.552997178052433,0.05299717805243298,-0.013484661346192306,-0.013484661346192084
F571-8,0.245489388705386,7,85.0,9.872276342945089,3.56,1.782,3.56,-0.8519923305125424,F571-8,-1.3491421689390282,0.245489388705386,-0.254510611294614,-0.31588286578009356,-0.31588286578009345
NGC2998,0.6109466388474888,6,58.0,11.027923516591636,6.2,23.451,6.2,-0.2146220236177106,NGC2998,-0.7117718850138613,0.6109466388474888,0.11094663884748879,-0.03558951269018917,-0.03558951269018884
UGC06787,0.6108145252281175,63,66.0,10.746773493285398,5.37,5.03,5.37,-0.758380601403557,UGC06787,-1.2555304590373175,0.6108145252281175,0.11081452522811752,-0.015002645476056675,-0.015002645476056342
NGC7793,0.9787208843372964,8,47.0,9.669328969965864,1.21,0.861,1.21,-0.2305678858081187,NGC7793,-0.7277174618733792,0.9787208843372964,0.4787208843372964,0.43230456932327266,0.43230456932327277
NGC0891,0.6218878723084509,14,90.0,10.875665727894663,2.55,4.462,2.55,-0.1635508617089339,NGC0891,-0.6607006676142253,0.6218878723084509,0.12188787230845088,-0.013427841938606022,-0.013427841938605911
NGC4138,0.7210324981672814,5,53.0,10.380715635073956,1.51,1.483,1.51,-0.1868129340295969,NGC4138,-0.6839626162520906,0.7210324981672814,0.22103249816728143,0.12219147940877206,0.12219147940877229
DDO154,0.6148815620372328,5,64.0,8.593562952258974,0.37,0.275,0.37,0.3029260733595617,DDO154,-0.1942206269978611,0.6148815620372328,0.11488156203723277,0.14774240745198824,0.1477424074519884
